Date,Description,Debit,Credit,Purchase Type
04/30/2024,2nd St Garage,2,0,Professional Service
4/11/2024,7Eleven,59.18,0,Gas
4/21/2024,7Eleven,61.38,0,Gas
04/21/2024,Academy,7.57,0,Supplies/Clothing
07/05/2024,Alamo,41.96,0,Recreational
07/05/2024,Alamo,33.32,0,Recreational
03/09/2024,Alamo,89.74,0,Recreational
03/06/2024,Alamo,25.2,0,Recreational
08/10/2024,Alamo,50.26,0,Recreational
08/09/2024,Alamo,25.2,0,Recreational
05/18/2024,Alamo,61.69,0,Recreational
05/18/2024,Alamo,31.7,0,Recreational
07/09/2024,Alamo,72.62,0,Recreational
07/09/2024,Alamo,19.26,0,Recreational
06/24/2024,Amazon,88.74,0,Supplies/Clothing
07/31/2024,Amazon,0,13.34,Supplies/Clothing
07/30/2024,Amazon,34.5,0,Supplies/Clothing
07/23/2024,Amazon,20.56,0,Supplies/Clothing
07/14/2024,Amazon,37.88,0,Supplies/Clothing
07/08/2024,Amazon,34.95,0,Supplies/Clothing
07/07/2024,Amazon,324.71,0,Supplies/Clothing
06/05/2024,Amazon,32.42,0,Supplies/Clothing
05/04/2024,Amazon,114.8,0,Supplies/Clothing
04/09/2024,Amazon,128.7,0,Supplies/Clothing
04/09/2024,Amazon,202.52,0,Supplies/Clothing
03/27/2024,Amazon,23.8,0,Supplies/Clothing
03/27/2024,Amazon,32.42,0,Supplies/Clothing
03/20/2024,Amazon,5.4,0,Supplies/Clothing
03/20/2024,Amazon,52.83,0,Supplies/Clothing
03/20/2024,Amazon,21.64,0,Supplies/Clothing
03/19/2024,Amazon,116.6,0,Supplies/Clothing
07/07/2024,Amazon,85.07,0,Supplies/Clothing
06/24/2024,Amazon,0,16.44,Supplies/Clothing
04/09/2024,Amazon,15.14,0,Supplies/Clothing
03/19/2024,Amazon,36.16,0,Supplies/Clothing
07/07/2024,Amazon,144.47,0,Supplies/Clothing
07/26/2024,Amazon,0,37.88,Supplies/Clothing
07/16/2024,Amazon,0,37.88,Supplies/Clothing
3/5/2024,Amazon,98.47,0,Supplies/Clothing
06/24/2024,Amazon,83.82,0,Supplies/Clothing
05/24/2024,Amazon,40.04,0,Supplies/Clothing
03/20/2024,Amazon,0,15.14,Supplies/Clothing
07/29/2024,Amazon,0,35.71,Supplies/Clothing
07/21/2024,Amazon,21.64,0,Supplies/Clothing
07/20/2024,Amazon,88.07,0,Supplies/Clothing
07/09/2024,Amazon,21.63,0,Supplies/Clothing
07/09/2024,Amazon,28.68,0,Supplies/Clothing
07/09/2024,Amazon,36.31,0,Supplies/Clothing
06/24/2024,Amazon,0,22.72,Supplies/Clothing
06/24/2024,Amazon,0,14.06,Supplies/Clothing
05/21/2024,Amazon,63.83,0,Supplies/Clothing
06/24/2024,Amazon,0,10.81,Supplies/Clothing
02/11/2024,Amazon,25.71,0,Supplies/Clothing
3/16/2024,Amys Ice Creams,10.07,0,Food
05/19/2024,Apple,2.99,0,Software
07/19/2024,Apple,2.99,0,Software
07/15/2024,Apple,5.4,0,Software
01/19/2024,Apple,2.99,0,Software
06/19/2024,Apple,2.99,0,Software
02/18/2024,Apple,2.99,0,Software
03/18/2024,Apple,2.99,0,Software
04/19/2024,Apple,2.99,0,Software
08/18/2024,Apple,2.99,0,Software
1/10/2024,Apple Leasing,1500,0,Auto
01/09/2024,Apple Leasing,500,0,Auto
4/22/2024,Armstrong Mccall,351.65,0,Supplies/Clothing
06/07/2024,At Home,19.45,0,Supplies/Clothing
3/2/2024,At Home,27.05,0,Supplies/Clothing
04/17/2024,Azazie,171.04,0,Supplies/Clothing
7/15/2024,Barnes and Noble,19.74,0,Supplies/Clothing
7/15/2024,Barnes and Noble,118.97,0,Supplies/Clothing
2/5/2024,Best Buy,2311.66,0,Supplies/Clothing
3/26/2024,Birdy Grey,120.15,0,Supplies/Clothing
1/13/2024,Bitelo Brazilian,318.98,0,Food
6/8/2024,Black Rock,14.75,0,Coffee
6/1/2024,Black Rock,14.75,0,Coffee
5/3/2024,Black Rock,12.55,0,Coffee
4/4/2024,Black Rock,14.18,0,Coffee
3/26/2024,Black Rock,12.64,0,Coffee
3/18/2024,Black Rock,14.35,0,Coffee
3/3/2024,Black Rock,14.81,0,Coffee
2/16/2024,Black Rock,15.45,0,Coffee
03/08/2024,Black Rock,15.45,0,Coffee
4/20/2024,Black Rock,14.75,0,Coffee
07/04/2024,Black Rock,8.98,0,Coffee
1/24/2024,Black Rock,14.16,0,Coffee
07/13/2024,Black Rock,24.3,0,Coffee
8/19/2024,Black Rock,15.41,0,Coffee
1/29/2024,Black Rock,13.64,0,Coffee
1/28/2024,Black Rock,12.21,0,Coffee
5/30/2024,Black Rock,14.18,0,Coffee
03/19/2024,Black Rock,15,0,Coffee
1/10/2024,Black Rock,8.87,0,Coffee
08/10/2024,Black Rock,16.03,0,Coffee
3/30/2024,Black Rock,13.9,0,Coffee
3/6/2024,Black Rock,15.12,0,Coffee
08/09/2024,Black Rock,7.3,0,Coffee
2/24/2024,Black Rock,6.98,0,Coffee
05/16/2024,Black Rock,14.75,0,Coffee
03/11/2024,Black Rock,7.9,0,Coffee
02/07/2024,Black Rock,16.5,0,Coffee
01/02/2024,Black Rock,14.8,0,Coffee
3/3/2024,Bucees,25.78,0,Food
4/26/2024,Bushs Chicken,44.37,0,Food
01/10/2024,Bushs Chicken,44.37,0,Food
01/15/2024,Cashback Bonus Redemption,0,10.52,Revenue
6/7/2024,Cedar Park Barbershop,50,0,Self Care
3/26/2024,Cedar Park Barbershop,50,0,Self Care
5/22/2024,Central Market,33.75,0,Groceries
06/14/2024,Central Market,8.66,0,Groceries
06/14/2024,Central Market,39.79,0,Groceries
06/22/2024,Central Market,124.19,0,Groceries
02/19/2024,Central Market,95.65,0,Groceries
08/07/2024,Central Market,51,0,Groceries
6/15/2024,Cheba Hut,8.86,0,Food
08/02/2024,Chevron,33.25,0,Gas
02/23/2024,Chickfila,19.02,0,Food
07/30/2024,Chickfila,22.41,0,Food
07/22/2024,Chickfila,25.21,0,Food
07/09/2024,Chickfila,25.68,0,Food
03/21/2024,Chickfila,21.53,0,Food
03/05/2024,Chickfila,27.68,0,Food
06/12/2024,Chickfila,32.63,0,Food
05/06/2024,Chickfila,35.12,0,Food
02/17/2024,Chickfila,37.93,0,Food
02/10/2024,Chickfila,25.35,0,Food
01/15/2024,Chickfila,12.61,0,Food
05/16/2024,Chilis,47.64,0,Food
4/30/2024,Chipotle,26.85,0,Food
4/5/2024,Chipotle,26.85,0,Food
03/18/2024,Chipotle,25.06,0,Food
2/1/2024,Chipotle,19.27,0,Food
2/25/2024,Cilantro,50.02,0,Food
01/06/2024,Cinemark Theatres,35.67,0,Recreational
5/16/2024,Circle K,80.01,0,Gas
5/11/2024,Costco,14.49,0,Groceries
5/11/2024,Costco,10.77,0,Groceries
4/25/2024,Costco,244.92,0,Groceries
5/1/2024,Costco,29.97,0,Groceries
07/06/2024,Crunchyroll,12.95,0,Subscription
08/06/2024,Crunchyroll,12.95,0,Subscription
01/06/2024,Crunchyroll,10.79,0,Subscription
02/06/2024,Crunchyroll,10.79,0,Subscription
03/06/2024,Crunchyroll,10.79,0,Subscription
04/06/2024,Crunchyroll,10.79,0,Subscription
05/06/2024,Crunchyroll,10.79,0,Subscription
06/06/2024,Crunchyroll,12.95,0,Subscription
8/15/2024,CVS Pharmacy,13.26,0,Medical
8/3/2024,CVS Pharmacy,4.32,0,Medical
1/16/2024,Deposit At Atm,0,500,Revenue
4/11/2024,Deposit By Check,0,1689.67,Revenue
4/11/2024,Deposit By Check,0,1689.67,Revenue
2/20/2024,Deposit By Check,0,680,Revenue
2/20/2024,Deposit By Check,0,1689.67,Revenue
1/23/2024,Deposit By Check,0,1689.67,Revenue
1/18/2024,Deposit By Check,0,1689.67,Revenue
6/28/2024,Deposit By Check,0,3379.34,Revenue
6/15/2024,Deposit By Check,0,3379.34,Revenue
6/1/2024,Deposit By Check,0,3379.34,Revenue
5/6/2024,Deposit By Check,0,3379.34,Revenue
4/22/2024,Deposit By Check,0,1689.67,Revenue
7/15/2024,Deposit By Check,0,3379.34,Revenue
1/31/2024,Deposit By Check,0,3379.34,Revenue
5/17/2024,Deposit By Check,0,3379.34,Revenue
2/15/2024,Deposit By Check,0,1689.67,Revenue
8/15/2024,Deposit By Check,0,3379.34,Revenue
3/19/2024,Deposit By Check,0,3379.34,Revenue
7/31/2024,Deposit By Check,0,3379.34,Revenue
4/18/2024,Deposit By Check,0,1689.67,Revenue
3/5/2024,Deposit By Check,0,1689.67,Revenue
2/29/2024,Deposit By Check,0,1689.67,Revenue
3/19/2024,Deposit Cash,0,100,Revenue
1/18/2024,Deposit Cash,0,115.17,Revenue
4/22/2024,Dollartree,27.06,0,Supplies/Clothing
06/13/2024,Dominos,20.99,0,Food
07/03/2024,Dominos,21.98,0,Food
1/30/2024,Donuts Crown,7.49,0,Food
1/21/2024,Donuts Crown,22.94,0,Food
05/24/2024,Doordash,57.51,0,Food
05/16/2024,Doordash,74.17,0,Food
5/3/2024,Doordash,65.89,0,Food
04/23/2024,Doordash,40.32,0,Food
04/09/2024,Doordash,69.84,0,Food
03/16/2024,Doordash,47.94,0,Food
01/05/2024,Doordash,44.01,0,Food
6/1/2024,Double Daves,42.92,0,Food
02/05/2024,Double Daves,44.35,0,Food
3/27/2024,El Pollo Rico,42.83,0,Food
5/27/2024,El Pollo Rico,53.76,0,Food
7/23/2024,El Pollo Rico,37.87,0,Food
02/15/2024,El Taccorido,19.16,0,Food
02/12/2024,El Taccorido,10.72,0,Food
2/3/2024,El Taccorido,33.78,0,Food
02/12/2024,El Taccorido,21.77,0,Food
05/17/2024,Estancia,183.84,0,Food
07/26/2024,Estancia,505.83,0,Food
05/19/2024,Freddys,29.51,0,Food
5/4/2024,Fuddruckers,32.18,0,Food
2/26/2024,Gattis Pizza,39.73,0,Food
3/23/2024,Gattis Pizza,26.98,0,Food
01/09/2024,Glassescom,0,30,Medical
01/08/2024,Glassescom,308,0,Medical
08/06/2024,Golds Gym,43.29,0,Subscription
06/25/2024,Golds Gym,43.29,0,Subscription
05/25/2024,Golds Gym,43.29,0,Subscription
05/15/2024,Golds Gym,54.11,0,Subscription
05/06/2024,Golds Gym,43.29,0,Subscription
04/25/2024,Golds Gym,43.29,0,Subscription
04/06/2024,Golds Gym,43.29,0,Subscription
03/25/2024,Golds Gym,43.29,0,Subscription
07/06/2024,Golds Gym,43.29,0,Subscription
02/18/2024,Golds Gym,1.08,0,Subscription
07/25/2024,Golds Gym,43.29,0,Subscription
04/18/2024,Golds Gym,54.11,0,Subscription
06/06/2024,Golds Gym,43.29,0,Subscription
03/06/2024,Golds Gym,43.29,0,Subscription
02/25/2024,Golds Gym,43.29,0,Subscription
3/23/2024,Grand Donuts,27.84,0,Food
1/1/2024,Grand Donuts,13.19,0,Food
1/4/2024,Great Hills Eye Care,188,0,Medical
5/31/2024,GX Loan,1000,0,Car Loan
7/31/2024,GX Loan,1000,0,Car Loan
6/28/2024,GX Loan,1000,0,Car Loan
5/1/2024,GX Loan,1000,0,Car Loan
4/1/2024,GX Loan,1000,0,Car Loan
5/23/2024,Hairgod,114,0,Supplies/Clothing
06/20/2024,Harmony Dental,554,0,Medical
06/04/2024,Harmony Dental,482,0,Medical
6/1/2024,HEB,171.58,0,Groceries
4/16/2024,HEB,60.69,0,Groceries
4/12/2024,HEB,82.38,0,Groceries
3/28/2024,HEB,186.46,0,Groceries
3/17/2024,HEB,46.17,0,Groceries
1/19/2024,HEB,22.05,0,Groceries
1/11/2024,HEB,22.8,0,Groceries
07/27/2024,HEB,37.18,0,Groceries
06/09/2024,HEB,65.42,0,Groceries
06/07/2024,HEB,92.96,0,Groceries
05/15/2024,HEB,8.65,0,Groceries
04/19/2024,HEB,24.69,0,Groceries
03/13/2024,HEB,144.26,0,Groceries
