Trans. Date,Post Date,Description,Amount,Category
07/30/2022,10/11/2022,"DOC BS RESTAURANT 005 FORT WORTH TXREVERSAL OF TEMPORARY CREDIT",38.32,"Merchandise"
08/26/2022,08/27/2022,"H-E-B #029 W LAKE HILLS TX",17.07,"Supermarkets"
08/26/2022,08/27/2022,"H-E-B #029 W LAKE HILLS TX",111.42,"Supermarkets"
08/27/2022,08/27/2022,"MCDONALD'S F11210 WESTLAKE TX",18.75,"Restaurants"
08/29/2022,08/29/2022,"ALAMO LAKELINE RETAIL AUSTIN TX",25.20,"Travel/ Entertainment"
08/31/2022,08/31/2022,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-53.82,"Awards and Rebate Credits"
08/31/2022,08/31/2022,"INTERNET PAYMENT - THANK YOU",-391.97,"Payments and Credits"
09/03/2022,09/03/2022,"H-E-B #029 W LAKE HILLS TX",136.07,"Supermarkets"
09/04/2022,07/30/2022,"DOC BS RESTAURANT 005 FORT WORTH TXTEMPORARY CREDIT PENDING INVESTIGATION",-38.32,"Payments and Credits"
09/05/2022,09/05/2022,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA37CMBG-680E8AEB7C05C8",10.79,"Services"
09/05/2022,09/05/2022,"H-E-B #029 W LAKE HILLS TX",30.28,"Supermarkets"
09/06/2022,09/06/2022,"H-E-B #029 W LAKE HILLS TX",7.62,"Supermarkets"
09/07/2022,09/07/2022,"DOUBLEDAVES PIZZAWORKS 5124021555 TX",50.46,"Restaurants"
09/09/2022,09/09/2022,"JIMMY JOHNS # 832 - E AUSTIN TX",19.88,"Restaurants"
09/10/2022,09/10/2022,"STARBUCKS STORE 48566 LEANDER TXBF40685C5A85692594",14.78,"Restaurants"
09/11/2022,09/11/2022,"TST* MIGHTY FINE BURGE SUNSET VALLEYTX00011718008531556793AA",33.80,"Restaurants"
09/13/2022,09/13/2022,"CHICK-FIL-A #01136 5123299171 TX",26.46,"Restaurants"
09/15/2022,09/15/2022,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",106.08,"Travel/ Entertainment"
09/15/2022,09/15/2022,"JIMMY JOHNS # 832 - E AUSTIN TX",17.45,"Restaurants"
09/19/2022,09/19/2022,"LOTUS HUNAN AUSTIN TX",54.53,"Restaurants"
09/19/2022,09/19/2022,"NATIONWIDE PET INS 800-872-7387 CA1104004250000000",31.35,"Merchandise"
09/20/2022,09/20/2022,"MCDONALD'S F11210 WESTLAKE TX",14.11,"Restaurants"
09/22/2022,09/22/2022,"HAT CREEK BURGERS-WESTLA WEST LAKE HILTX",18.49,"Restaurants"
09/23/2022,09/23/2022,"INTERNET PAYMENT - THANK YOU",-300.00,"Payments and Credits"
09/24/2022,09/24/2022,"TST* JULIET ITALIAN KITC AUSTIN TX",70.47,"Restaurants"
09/25/2022,09/25/2022,"GOLDS GYM TX AUSTIN DOWN 512-479-0044 TX",75.58,"Travel/ Entertainment"
