Trans. Date,Post Date,Description,Amount,Category
01/06/2024,01/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4E4BXK-3F12A30E0BB0D5",10.79,"Services"
01/15/2024,01/15/2024,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-10.52,"Awards and Rebate Credits"
01/15/2024,01/15/2024,"INTERNET PAYMENT - THANK YOU",-104.14,"Payments and Credits"
01/16/2024,01/16/2024,"MCW308-WHITESTONE CEDAR PARK TX",34.99,"Automotive"
01/18/2024,01/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1235819060000000",31.26,"Merchandise"
01/19/2024,01/19/2024,"APPLE.COM/BILL 866-712-7753 CA",2.99,"Merchandise"
01/19/2024,01/19/2024,"IPSY* ICON BOX 6502277841 CA",67.10,"Merchandise"
01/20/2024,01/20/2024,"MCALISTER'S OLO 1418 512-260-3354 TX",31.69,"Travel/ Entertainment"
02/06/2024,02/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4HCM6V-198CC09500CABC",10.79,"Services"
02/15/2024,02/15/2024,"INTERNET PAYMENT - THANK YOU",-178.82,"Payments and Credits"
02/16/2024,02/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
02/18/2024,02/18/2024,"APPLE.COM/BILL 866-712-7753 CAMM257YJWYFA0",2.99,"Merchandise"
02/18/2024,02/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1243998370000000",31.26,"Merchandise"
02/29/2024,02/29/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
03/06/2024,03/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4KHZSV-17C37CFA57872F",10.79,"Services"
03/15/2024,03/15/2024,"INTERNET PAYMENT - THANK YOU",-114.66,"Payments and Credits"
03/16/2024,03/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
03/18/2024,03/18/2024,"APPLE.COM/BILL 866-712-7753 CA",2.99,"Merchandise"
03/18/2024,03/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1252004450000000",31.26,"Merchandise"
03/31/2024,03/31/2024,"IPSY* BOXYCHARM 6502277841 CA",34.63,"Merchandise"
04/01/2024,04/01/2024,"IPSY* ADD ONS 6502277841 CA",20.57,"Merchandise"
04/06/2024,04/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4NQ7E5-99B23E791A164C",10.79,"Services"
04/14/2024,04/14/2024,"INTERNET PAYMENT - THANK YOU",-135.23,"Payments and Credits"
04/16/2024,04/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
04/18/2024,04/18/2024,"NATIONWIDE PET INS 800-872-7387 CA1260044510000000",31.36,"Merchandise"
04/19/2024,04/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25F4HX27A0",2.99,"Merchandise"
04/21/2024,04/21/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
04/30/2024,04/30/2024,"IPSY* ICON BOX 6502277841 CA",67.10,"Merchandise"
05/06/2024,05/06/2024,"CRUNCHYROLL *MEMBERSHI 415-503-9235 CA@4R1TG4-6D2B55C5E982C0",10.79,"Services"
05/16/2024,05/16/2024,"MISTER CAR WASH #0308 CEDAR PARK TX",34.99,"Automotive"
05/18/2024,05/18/2024,"INTERNET PAYMENT - THANK YOU",-217.21,"Payments and Credits"
05/19/2024,05/19/2024,"APPLE.COM/BILL 866-712-7753 CAMM25HQDLH8A0",2.99,"Merchandise"
05/19/2024,05/19/2024,"NATIONWIDE PET INS 800-872-7387 CA1267990390000000",41.86,"Merchandise"
